Date,Category,Amount,Vendor,Description
2025-09-09,Food & Dining,190,Cafe Coffee Day,Coffee and snack combo
2025-09-10,Lifestyle & Entertainment,320,Ullu,Web series platform subscription
2025-09-11,Savings & Investments,2200,Liquid Fund,Short term investment
2025-09-12,Food & Dining,260,Social Offline,Gastropub dining experience
2025-09-13,Essentials,420,Aurelia,Women's clothing purchase
2025-09-14,Healthcare,350,Glenmark,Generic medicine purchase
2025-09-15,Food & Dining,280,Cafe Turtle,Literary cafe experience
2025-09-16,Lifestyle & Entertainment,200,Rabbit Movies,Regional cinema subscription
2025-09-17,Essentials,480,Global Desi,Ethnic fashion shopping
2025-09-18,Food & Dining,220,Cafe Lota,Heritage dining experience
2025-09-19,Healthcare,300,Torrent Pharma,Pharmaceutical product purchase
2025-09-20,Savings & Investments,2500,Balanced Fund,Moderate investment strategy
2025-09-21,Food & Dining,340,Molecule Air Bar,Molecular gastronomy experience
2025-09-22,Essentials,360,Biba,Indian ethnic wear purchase
2025-09-23,Lifestyle & Entertainment,280,Stage,Live performance streaming
2025-09-24,Food & Dining,200,Cafe Mocha,Evening refreshment break
2025-09-25,Healthcare,420,Alkem Labs,Specialty medicine purchase
2025-09-26,Essentials,440,Kazo,Contemporary fashion shopping
2025-09-27,Food & Dining,310,Cafe Delhi Heights,Multi-cuisine dining
2025-09-28,Savings & Investments,1900,Gold Fund,Precious metal fund investment
2025-09-29,Lifestyle & Entertainment,250,Planet Marathi,Marathi content subscription
2025-09-30,Food & Dining,290,Cafe Turtle,Month end literary treat
2025-09-01,Healthcare,380,Wockhardt,Hospital services payment
2025-09-02,Essentials,320,Vero Moda,International fashion purchase
2025-09-03,Food & Dining,170,Cafe Coffee Day,Quick coffee break
2025-09-04,Lifestyle & Entertainment,300,Tata Play Binge,Entertainment bundle subscription
2025-09-05,Savings & Investments,2100,Flexi Cap Fund,Flexible investment strategy
2025-09-06,Food & Dining,250,Cafe Mocha,Weekend brunch experience
2025-09-07,Essentials,400,Only,Scandinavian fashion purchase
2025-09-08,Healthcare,290,Strides Pharma,Export quality medicine
2025-09-09,Food & Dining,320,Cafe Delhi Heights,Continental food experience
2025-09-10,Lifestyle & Entertainment,220,Docubay,Documentary platform subscription
2025-09-11,Essentials,460,Jack & Jones,Men's fashion shopping
2025-09-12,Food & Dining,180,Cafe Coffee Day,Afternoon coffee break
2025-09-13,Healthcare,340,Aurobindo Pharma,Generic drug purchase
2025-09-14,Savings & Investments,2400,Multi Cap Fund,Diversified investment portfolio
2025-09-15,Food & Dining,270,Cafe Turtle,Literary evening experience
2025-09-16,Essentials,380,Selected Homme,Premium menswear purchase
2025-09-17,Lifestyle & Entertainment,260,Klikk,Gujarati content subscription
2025-09-18,Food & Dining,230,Cafe Mocha,Coffee meeting expense
2025-09-19,Healthcare,320,Cipla Health,Wellness product purchase
2025-09-20,Essentials,420,Pieces,Fashion accessories shopping
2025-09-21,Food & Dining,300,Cafe Delhi Heights,Dinner special experience
2025-09-22,Savings & Investments,1800,Conservative Fund,Low risk investment
2025-09-23,Lifestyle & Entertainment,240,Namaste America,NRI content subscription
2025-09-24,Food & Dining,190,Cafe Coffee Day,Evening snack break
2025-09-25,Essentials,360,Name It,Children's fashion purchase
2025-09-26,Healthcare,280,Mankind Pharma,Healthcare product purchase
2025-09-27,Food & Dining,340,Cafe Turtle,Weekend dining experience
2025-09-28,Lifestyle & Entertainment,300,Oho Gujarati,Regional entertainment subscription
2025-09-29,Essentials,480,Noisy May,Young fashion shopping
2025-09-30,Food & Dining,260,Cafe Mocha,Month end coffee celebration
