Date,Category,Amount,Vendor,Description
04/09/2025,Savings & Investments,2000,SIP,Monthly mutual fund investment
05/09/2025,Food & Dining,280,McDonald's,Fast food lunch meal
05/09/2025,Healthcare,1200,Max Hospital,Doctor consultation fee
06/09/2025,Savings & Investments,1900,ULIP,Insurance cum investment
07/09/2025,Essentials,460,Westside,Fashion retail shopping
08/09/2025,Healthcare,280,Patanjali,Herbal products purchase
09/09/2025,Food & Dining,320,Sagar Ratna,South Indian food
10/09/2025,Lifestyle & Entertainment,260,Eros Now,Bollywood content subscription
11/09/2025,Essentials,340,Lifestyle,Department store shopping
12/09/2025,Food & Dining,200,Naturals Ice Cream,Premium dessert treat
13/09/2025,Healthcare,420,Fortis Pharmacy,Prescription medicine refill
14/09/2025,Savings & Investments,2100,Hybrid Fund,Balanced investment portfolio
15/09/2025,Food & Dining,270,Cafe Delhi Heights,Continental cuisine lunch
16/09/2025,Essentials,390,Central,Mall shopping experience
17/09/2025,Lifestyle & Entertainment,180,Shemaroo,Regional entertainment subscription
18/09/2025,Food & Dining,310,Giani,Ice cream parlor visit
19/09/2025,Healthcare,380,Mankind Pharma,Generic medicine purchase
20/09/2025,Essentials,450,Brand Factory,Discounted brand shopping
21/09/2025,Food & Dining,150,Vadilal,Ice cream family pack
22/09/2025,Lifestyle & Entertainment,340,Lionsgate Play,Hollywood content subscription
23/09/2025,Savings & Investments,1700,Small Cap Fund,Growth investment option
24/09/2025,Food & Dining,280,Cream Stone,Ice cream creation experience
25/09/2025,Essentials,520,Max Fashion,Trendy clothing purchase
26/09/2025,Healthcare,300,Zydus Wellness,Nutritional supplement purchase
27/09/2025,Food & Dining,360,Chili's,American cuisine dinner
28/09/2025,Lifestyle & Entertainment,250,Viacom18,Entertainment package subscription
29/09/2025,Essentials,480,Reliance Trends,Fashion shopping spree
30/09/2025,Food & Dining,220,Gelato Vinto,Artisan ice cream treat
01/10/2025,Monthly Rent,4996,Landlord,Monthly house rent payment
01/10/2025,Food & Dining,320,Zomato,October month start order
01/10/2025,Essentials,280,Big Bazaar,Monthly grocery shopping
02/10/2025,Food & Dining,240,Swiggy,Lunch delivery order
02/10/2025,Lifestyle & Entertainment,380,BookMyShow,Weekend movie tickets
02/10/2025,Essentials,420,Reliance Fresh,Fresh produce shopping
03/10/2025,Food & Dining,180,Cafe Coffee Day,Morning coffee meeting
03/10/2025,Healthcare,580,Apollo Pharmacy,Monthly medicine stock
03/10/2025,Lifestyle & Entertainment,299,Netflix,Streaming subscription
04/10/2025,Food & Dining,480,Pizza Hut,Weekend pizza order
04/10/2025,Essentials,720,DMart,Household supplies
04/10/2025,Savings & Investments,2500,SIP,Monthly investment
05/10/2025,Food & Dining,290,McDonald's,Quick lunch meal
05/10/2025,Healthcare,1200,Max Hospital,Health consultation
06/10/2025,Savings & Investments,2400,ULIP,Insurance premium
07/10/2025,Essentials,480,Westside,Clothing shopping
08/10/2025,Healthcare,320,Patanjali,Health products
09/10/2025,Food & Dining,360,Sagar Ratna,Traditional meal
10/10/2025,Lifestyle & Entertainment,299,Spotify Premium,Music subscription
11/10/2025,Essentials,380,Lifestyle,Fashion shopping
12/10/2025,Food & Dining,220,Naturals Ice Cream,Dessert treat
